year,month,day,thefts,temp
2012,8,2,425,80.0
2012,8,3,504,83.0
2012,8,4,468,82.0
2012,8,5,439,75.0
2012,8,6,464,74.0
2012,8,7,488,77.0
2012,8,8,469,78.0
2012,8,9,438,69.0
2012,8,10,455,69.0
2012,8,11,473,67.0
2012,8,12,414,66.0
2012,8,13,464,65.0
2012,8,14,435,70.0
2012,8,15,545,75.0
2012,8,16,438,69.0
2012,8,17,450,67.0
2012,8,18,457,65.0
2012,8,19,396,70.0
2012,8,20,415,66.0
2012,8,21,456,66.0
2012,8,22,425,70.0
2012,8,23,430,78.0
2012,8,24,463,79.0
2012,8,25,436,80.0
2012,8,26,358,73.0
2012,8,27,411,77.0
2012,8,28,414,75.0
2012,8,29,481,75.0
2012,8,30,418,77.0
2012,8,31,446,82.0
2012,9,1,555,73.0
2012,9,2,394,78.0
2012,9,3,364,80.0
2012,9,4,461,78.0
2012,9,5,389,75.0
2012,9,6,427,77.0
2012,9,7,472,69.0
2012,9,8,494,64.0
2012,9,9,416,64.0
2012,9,10,424,64.0
2012,9,11,450,68.0
2012,9,12,395,75.0
2012,9,13,439,63.0
2012,9,14,477,64.0
2012,9,15,505,65.0
2012,9,16,397,63.0
2012,9,17,439,67.0
2012,9,18,427,55.0
2012,9,19,405,57.0
2012,9,20,467,62.0
2012,9,21,526,54.0
2012,9,22,407,52.0
2012,9,23,372,51.0
2012,9,24,399,54.0
2012,9,25,355,63.0
2012,9,26,406,61.0
2012,9,27,428,56.0
2012,9,28,474,59.0
2012,9,29,451,64.0
2012,9,30,405,58.0
2012,10,1,578,57.0
2012,10,2,341,61.0
2012,10,3,430,61.0
2012,10,4,422,63.0
2012,10,5,450,45.0
2012,10,6,350,42.0
2012,10,7,349,44.0
2012,10,8,413,46.0
2012,10,9,374,54.0
2012,10,10,414,43.0
2012,10,11,388,51.0
2012,10,12,452,45.0
2012,10,13,413,56.0
2012,10,14,360,60.0
2012,10,15,423,51.0
2012,10,16,378,55.0
2012,10,17,420,61.0
2012,10,18,425,50.0
2012,10,19,419,48.0
2012,10,20,412,49.0
2012,10,21,363,53.0
2012,10,22,404,57.0
2012,10,23,406,64.0
2012,10,24,440,68.0
2012,10,25,432,60.0
2012,10,26,447,44.0
2012,10,27,416,41.0
2012,10,28,366,44.0
2012,10,29,419,44.0
2012,10,30,452,44.0
2012,10,31,362,42.0
2012,11,1,482,44.0
2012,11,2,465,41.0
2012,11,3,335,41.0
2012,11,4,316,40.0
2012,11,5,405,38.0
2012,11,6,329,36.0
2012,11,7,439,44.0
2012,11,8,399,40.0
2012,11,9,442,45.0
2012,11,10,478,58.0
2012,11,11,353,55.0
2012,11,12,415,35.0
2012,11,13,402,33.0
2012,11,14,373,37.0
2012,11,15,475,39.0
2012,11,16,457,41.0
2012,11,17,442,41.0
2012,11,18,357,44.0
2012,11,19,390,48.0
2012,11,20,427,49.0
2012,11,21,419,44.0
2012,11,22,261,53.0
2012,11,23,397,35.0
2012,11,24,398,28.0
2012,11,25,337,36.0
2012,11,26,365,30.0
2012,11,27,416,25.0
2012,11,28,367,36.0
2012,11,29,473,42.0
2012,11,30,457,44.0
2012,12,1,507,44.0
2012,12,2,313,54.0
2012,12,3,343,58.0
2012,12,4,406,49.0
2012,12,5,419,34.0
2012,12,6,380,39.0
2012,12,7,458,44.0
2012,12,8,367,39.0
2012,12,9,349,38.0
2012,12,10,404,35.0
2012,12,11,425,29.0
2012,12,12,485,37.0
2012,12,13,390,41.0
2012,12,14,447,38.0
2012,12,15,478,44.0
2012,12,16,322,44.0
2012,12,17,390,35.0
2012,12,18,407,36.0
2012,12,19,398,38.0
2012,12,20,429,41.0
2012,12,21,358,27.0
2012,12,22,371,25.0
2012,12,23,348,28.0
2012,12,24,355,31.0
2012,12,25,180,29.0
2012,12,26,276,31.0
2012,12,27,275,31.0
2012,12,28,361,31.0
2012,12,29,396,26.0
2012,12,30,284,24.0
2012,12,31,344,21.0
2013,1,1,502,18.0
2013,1,2,366,20.0
2013,1,3,290,24.0
2013,1,4,402,25.0
2013,1,5,320,29.0
2013,1,6,294,27.0
2013,1,7,342,28.0
2013,1,8,322,33.0
2013,1,9,396,39.0
2013,1,10,388,34.0
2013,1,11,382,47.0
2013,1,12,332,42.0
2013,1,13,288,22.0
2013,1,14,348,19.0
2013,1,15,406,22.0
2013,1,16,318,26.0
2013,1,17,334,27.0
2013,1,18,408,31.0
2013,1,19,358,38.0
2013,1,20,246,21.0
2013,1,21,264,10.0
2013,1,22,350,5.0
2013,1,23,372,17.0
2013,1,24,368,13.0
2013,1,25,394,24.0
2013,1,26,362,21.0
2013,1,27,304,30.0
2013,1,28,412,43.0
2013,1,29,376,51.0
2013,1,30,356,33.0
2013,1,31,330,14.0
2013,2,1,478,7.0
2013,2,2,346,16.0
2013,2,3,206,15.0
2013,2,4,310,21.0
2013,2,5,344,19.0
2013,2,6,322,24.0
2013,2,7,336,33.0
2013,2,8,380,28.0
2013,2,9,362,26.0
2013,2,10,304,40.0
2013,2,11,346,37.0
2013,2,12,342,25.0
2013,2,13,360,32.0
2013,2,14,296,36.0
2013,2,15,432,27.0
2013,2,16,314,16.0
2013,2,17,242,20.0
2013,2,18,294,40.0
2013,2,19,336,21.0
2013,2,20,330,16.0
2013,2,21,316,26.0
2013,2,22,328,29.0
2013,2,23,254,25.0
2013,2,24,256,28.0
2013,2,25,308,32.0
2013,2,26,286,34.0
2013,2,27,354,33.0
2013,2,28,300,31.0
2013,3,1,462,28.0
2013,3,2,304,24.0
2013,3,3,292,25.0
2013,3,4,338,26.0
2013,3,5,316,31.0
2013,3,6,260,31.0
2013,3,7,352,33.0
2013,3,8,394,30.0
2013,3,9,330,37.0
2013,3,10,268,45.0
2013,3,11,366,41.0
2013,3,12,410,32.0
2013,3,13,386,28.0
2013,3,14,332,30.0
2013,3,15,406,36.0
2013,3,16,308,33.0
2013,3,17,288,31.0
2013,3,18,390,28.0
2013,3,19,334,25.0
2013,3,20,342,20.0
2013,3,21,330,24.0
2013,3,22,428,31.0
2013,3,23,336,33.0
2013,3,24,276,35.0
2013,3,25,350,35.0
2013,3,26,334,36.0
2013,3,27,308,37.0
2013,3,28,390,40.0
2013,3,29,384,44.0
2013,3,30,386,44.0
2013,3,31,272,48.0
2013,4,1,494,35.0
2013,4,2,356,35.0
2013,4,3,344,35.0
2013,4,4,390,42.0
2013,4,5,420,41.0
2013,4,6,326,53.0
2013,4,7,280,50.0
2013,4,8,354,53.0
2013,4,9,352,47.0
2013,4,10,400,40.0
2013,4,11,338,42.0
2013,4,12,414,41.0
2013,4,13,362,40.0
2013,4,14,310,54.0
2013,4,15,444,55.0
2013,4,16,340,49.0
2013,4,17,304,46.0
2013,4,18,352,51.0
2013,4,19,386,37.0
2013,4,20,358,39.0
2013,4,21,316,42.0
2013,4,22,402,53.0
2013,4,23,332,49.0
2013,4,24,380,44.0
2013,4,25,396,45.0
2013,4,26,466,51.0
2013,4,27,362,56.0
2013,4,28,340,57.0
2013,4,29,422,61.0
2013,4,30,382,73.0
2013,5,1,536,70.0
2013,5,2,341,57.0
2013,5,3,412,44.0
2013,5,4,380,60.0
2013,5,5,388,59.0
2013,5,6,392,61.0
2013,5,7,402,62.0
2013,5,8,426,64.0
2013,5,9,376,61.0
2013,5,10,418,46.0
2013,5,11,332,52.0
2013,5,12,338,46.0
2013,5,13,394,50.0
2013,5,14,394,71.0
2013,5,15,480,72.0
2013,5,16,458,68.0
2013,5,17,434,63.0
2013,5,18,434,68.0
2013,5,19,332,72.0
2013,5,20,384,77.0
2013,5,21,416,73.0
2013,5,22,460,63.0
2013,5,23,358,48.0
2013,5,24,410,49.0
2013,5,25,372,51.0
2013,5,26,288,56.0
2013,5,27,334,58.0
2013,5,28,429,66.0
2013,5,29,386,74.0
2013,5,30,430,74.0
2013,5,31,394,71.0
2013,6,1,504,70.0
2013,6,2,342,53.0
2013,6,3,447,56.0
2013,6,4,426,61.0
2013,6,5,430,64.0
2013,6,6,434,58.0
2013,6,7,356,60.0
2013,6,8,386,62.0
2013,6,9,364,68.0
2013,6,10,404,68.0
2013,6,11,412,72.0
2013,6,12,426,75.0
2013,6,13,430,66.0
2013,6,14,490,67.0
2013,6,15,436,69.0
2013,6,16,432,78.0
2013,6,17,482,74.0
2013,6,18,421,64.0
2013,6,19,408,64.0
2013,6,20,488,71.0
2013,6,21,440,75.0
2013,6,22,406,74.0
